"RefDes","Name","Value","Manufacturer"
"C1, C2","CAP","22pF",""
"C3, C4","CAP","0.1uF",""
"C5, C6, C8, C9","CAP","10nF",""
"C7, C11","CAP100RP","10uF",""
"C10, C12","CAP","100nF",""
"D1, D2, D4, D5, D6, D7","DIODE","",""
"D3","LED-5R_Green","5mm Round","Kingbright"
"J1","1761782001","","Weidmüller"
"J2","644456-3","Panels","TE Connectivity"
"J3","RCJ-2121","","CUI"
"J4","644456-3","IR","TE Connectivity"
"J5","DM1AA-SF-PEJ_3D2","","Hirose"
"J6","OSTOP020000","Power","On Shore Technology"
"J7","644456-6","Prog.","TE Connectivity"
"J8","644456-4","I2C","TE Connectivity"
"MK1","AOM-6545P-R","","Pui Audio"
"R1, R2, R3, R7, R11, R12","RES","1K",""
"R4, R9, R10","RES","2.2K",""
"R5, R15, R16, R24","RES","100",""
"R6, R17, R18","RES","2K",""
"R8","RES","2.2k",""
"R13, R14","RES","500",""
"R19","RES","10",""
"R20, R21","RES","100k",""
"R22","RES","20k",""
"R23","RES","220k",""
"R25","RES","1k",""
"S1","OS102011MS2QN1","","C&K"
"S2","B3F-1000","","OMRON"
"U1","ATMEGA1284P-PU","","Atmel"
"U2","LM324N","","Motorola"
"U3","M74HC4050B1R","","ST Microelectronics"
"U4","LF33CV","","ST Microelectronics"
"U5","B0505S","","Mornsun"
"Y1","ECS-110-S-1","16MHz",""
